
Ner,tsag,latitude,longitude,status
ATM1,16:00,47.91734257117528,106.92240921627857,1
ATM2,16:05,47.91855000000000,106.91420000000000,1
ATM3,16:10,47.92180000000000,106.90530000000000,0
ATM4,16:15,47.91420000000000,106.93050000000000,1
ATM5,16:20,47.90970000000000,106.91580000000000,1
ATM6,16:25,47.92530000000000,106.92010000000000,0
ATM7,16:30,47.91890000000000,106.93640000000000,1
ATM8,16:35,47.90650000000000,106.92270000000000,1
ATM9,16:40,47.93020000000000,106.91090000000000,1
ATM10,16:45,47.91280000000000,106.94020000000000,0

